company_id;udalennost_sklada_postavshchika_ot_zakazchika;nalichie_sobstvennogo_avtoparka_logisticheskikh_setei_i_podryadchikov;nalichie_i_dostatochnost_proizvodstvennykh_ofisnykh_i_skladskikh_ploshchadei;opyt_raboty_predpriyatiya_po_izgotovleniyu_analogichnoy_produktsii;uroven_tseny_zayavki;finansovaya_zavisimost;stabilnost_denezhnykh_potokov
122;811;0;1;37;1100000;0.24;0.36
123;235;0;0;2;300000;0.61;0.78
124;478;1;0;6;9100000;0.07;0.43
125;208;1;0;10;3200000;0.48;0.71
126;730;0;1;38;5900000;0.11;0.72
127;262;1;0;28;6300000;0.71;0.01
129;172;1;0;30;500000;0.56;0.81
131;433;1;0;13;1200000;0.77;0.09
132;370;1;1;36;3800000;0.57;0.42
133;109;0;1;20;6000000;0.79;0.05
134;937;0;0;20;7500000;0.76;0.34
135;550;0;1;34;3100000;0.41;0.97
136;1000;0;0;40;1700000;0.07;0.36
137;136;0;0;47;4600000;0.34;0.99
138;973;0;0;30;9600000;0.27;0.23
139;721;0;1;45;9900000;0.63;0.33
140;595;1;0;32;300000;0.02;0.31
141;928;0;0;10;500000;0.71;0.61
142;919;0;1;42;8000000;0.04;0.79
143;289;1;0;18;8400000;1;0.84
144;505;1;0;21;6800000;0.22;0.16
145;766;0;0;40;700000;0.4;0.66
146;469;0;1;35;4300000;0.44;0.68
148;910;0;1;26;1400000;0.73;0.11
149;748;0;1;16;3900000;1;0.44
154;388;1;1;6;1300000;0.71;0.55
157;712;1;1;22;8900000;0.01;0.81
158;820;1;1;16;3700000;0.91;0.78
161;181;1;1;31;3500000;0.29;0.01
162;748;0;1;44;2000000;0.89;0.06
163;640;0;1;13;5200000;0.25;0.94
164;874;1;0;50;7500000;0.85;0.78
166;496;1;0;16;6000000;0.26;0.18
167;640;1;0;22;4100000;0.72;0.55
168;307;1;0;28;9000000;0.57;0.48
169;856;1;1;6;5400000;0.91;0.98
170;217;0;1;18;6000000;0.52;0.83
171;739;0;1;48;4700000;0.82;0.47
172;136;0;1;40;2200000;0.72;0.02
173;172;1;0;33;600000;0.34;0.2
174;208;1;1;20;5000000;0.23;0.39
175;928;0;1;26;8900000;0.55;0.53
176;253;0;1;10;1400000;0.26;0.87
177;847;1;1;28;6400000;0.4;0.02
178;667;1;0;10;9700000;0.97;0.44
180;361;0;1;48;1900000;0.64;0.91
182;838;1;0;4;9600000;0.88;0.89
183;991;0;1;32;2300000;0.51;0.87
184;451;0;0;30;2800000;0.41;0.15
185;973;0;0;46;5800000;0.29;0.92
186;199;1;1;20;2600000;0.23;0.88
189;190;1;1;48;7600000;0.54;0.07
190;136;1;1;36;1100000;0.2;0.02
191;298;1;0;4;5500000;0.86;0.8
192;982;0;0;24;3700000;0.86;0.66
196;685;0;1;0;6400000;0.09;0.48
197;235;0;0;28;100000;0.42;0.53
199;541;1;0;27;2000000;0.54;0.4
200;199;1;0;39;6100000;0.29;0.05
201;820;0;0;41;5000000;0.74;0.85
202;127;1;1;36;1500000;0.91;0.59
203;865;0;0;38;2700000;0.06;0.77
204;244;1;1;26;400000;0.57;0.61
206;505;1;0;48;6500000;0.09;0.5
207;226;1;0;2;6100000;0.36;0.24
208;163;0;1;29;300000;0.48;0.86
209;100;1;1;4;200000;0.94;0.34
210;685;1;0;37;6800000;0.78;0.26
211;523;1;0;16;5800000;0.82;0.44
213;190;0;1;41;200000;0.83;0.06
215;712;1;0;36;200000;0.44;0.9
216;451;0;0;22;5700000;0.17;0.65
217;568;0;1;22;400000;0.3;0.1
218;811;0;0;49;1900000;0.45;0.03
219;910;1;0;8;300000;0.6;0.98
220;712;0;1;16;6100000;0.42;0.22
223;982;0;0;27;500000;0.25;0.2
224;838;1;1;49;6200000;0.46;0.83
225;172;0;0;4;2400000;0.5;0.88
227;325;0;1;18;6800000;0.46;0.1
229;325;1;1;24;3600000;0.42;0.74
230;316;1;0;18;4500000;0.69;0.9
231;316;1;0;36;5100000;0.45;0.53
234;523;1;1;27;8900000;0.07;0.59
235;676;1;1;23;8200000;0.93;0.94
237;712;1;1;18;3600000;0.77;0.54
238;766;0;0;26;7000000;0.61;0.22
239;163;0;0;38;7600000;0.34;0.57
240;145;0;0;16;2400000;0.42;0.48
241;865;1;0;14;5700000;0.52;0.75
242;280;0;1;44;6200000;0.88;0.67
244;757;0;0;32;8200000;0.48;0.36
245;280;0;0;20;7900000;0.23;1
248;109;1;1;24;6200000;0.95;0.71
250;829;1;0;25;6900000;0.98;0.76
251;883;0;1;19;1800000;0.59;0.83
252;712;1;0;25;7800000;0.94;0.53
253;784;1;0;28;7900000;0.26;0.46
254;334;0;1;32;5300000;0.39;0.51
255;973;1;1;15;5900000;0.57;0.25
257;928;0;0;24;7500000;0.63;0.11
258;937;1;1;28;3300000;0.22;0.64
259;964;1;1;2;8000000;0.98;0.3
260;271;1;0;10;700000;0.37;0.81
261;838;0;0;32;9000000;0.53;0.89
264;532;0;1;31;900000;0.81;0.85
265;730;0;0;32;9600000;0.46;0.46
267;568;0;1;42;4500000;0.98;0.79
271;802;1;0;5;2200000;0.1;0.17
272;901;0;0;36;6700000;0.07;0.38
275;163;1;0;42;8500000;0.14;0.66
276;154;0;0;29;6600000;0.02;0.08
277;622;0;0;44;6300000;0.48;0.79
278;415;0;1;29;3700000;0.48;0.64
279;379;0;1;42;1000000;0.44;0.99
281;325;1;0;26;7300000;0.5;0.12
283;280;1;1;44;200000;0.32;0.19
285;730;1;0;23;3100000;0.11;0.46
286;136;0;0;20;3400000;0.02;0.49
287;874;1;0;12;2400000;0.16;0.39
288;739;1;1;30;5400000;0.75;0.59
289;208;0;0;18;6800000;0.88;1
290;928;0;0;10;8500000;0.08;0.61
291;532;0;0;48;3200000;0.46;0.99
292;919;0;0;22;900000;0.3;0.4
293;100;1;1;36;8600000;0.04;0.22
294;460;1;0;13;8100000;0.37;0.36
295;892;0;0;32;9300000;0.98;0.57
296;811;0;0;8;1000000;0.31;0.16
297;577;0;0;24;8500000;0.37;0.33
299;316;1;1;46;6100000;0.01;0.21
303;406;1;1;46;5200000;0.23;0.43
305;928;0;0;30;9900000;0.06;0.88
306;694;1;0;2;600000;0.86;0.77
308;262;1;1;42;8900000;0.79;0.25
309;388;0;0;7;2200000;0.3;0.71
310;199;0;1;40;3100000;0.22;0.71
311;280;1;1;48;5100000;0.99;0.61
312;622;0;0;36;9800000;0.81;0.2
314;451;1;0;48;4900000;0.49;0.79
316;172;0;1;36;2100000;0.59;0.29
318;118;1;0;32;600000;0.93;0.87
320;523;1;1;2;8000000;0.88;0.21
321;190;1;1;16;3900000;0.63;0.72
322;145;0;1;9;900000;0.81;0.08
324;703;1;1;10;6800000;0.85;0.47
325;676;0;1;16;8200000;0.94;0.68
327;289;1;1;35;9700000;0.87;0.05
328;550;0;0;46;7000000;0.49;0.44
329;811;0;1;26;8200000;0.6;0.48
330;640;1;0;26;4100000;0.06;0.18
332;154;1;0;32;6300000;0.87;0.26
334;316;0;1;14;500000;0.9;0.44
335;658;1;0;10;4500000;0.83;0.67
336;892;1;1;21;9500000;0.14;0.42
337;928;0;0;24;1200000;0.37;0.17
338;109;0;0;10;3200000;0.79;0.29
340;919;0;1;36;7700000;0;0.75
341;199;0;1;7;7500000;0.3;0.84
342;307;1;1;11;9000000;0.01;0.87
343;910;0;0;49;2200000;0.27;0.98
344;172;0;1;14;3700000;0.72;0.39
345;703;1;0;25;300000;0.93;0.94
346;793;0;1;50;700000;0.7;0.44
347;739;1;0;17;2500000;0.93;0.1
350;685;0;1;19;9600000;0.73;0.36
351;343;1;1;24;2100000;0.59;0.24
352;388;1;0;42;1100000;0.91;0.46
354;577;1;1;12;7700000;0.05;0.68
355;163;1;0;45;8800000;0.04;0.82
356;244;0;1;24;5400000;0.81;0.83
357;811;0;1;22;3600000;0.01;0.2
358;676;0;0;34;1800000;0.14;0.14
359;730;0;1;10;2200000;0.11;0.73
360;586;0;0;42;5400000;0.89;0.09
361;505;1;1;8;8900000;0.46;0.44
362;406;0;0;13;7600000;0.32;0.21
363;964;1;0;22;8500000;0.37;0.1
366;154;1;0;44;3100000;0.2;0.65
369;361;0;0;31;4800000;0.39;0.1
371;280;0;0;21;5200000;0.33;0.38
372;244;0;0;27;3900000;0.64;0.73
373;100;1;1;30;4100000;0.08;0.36
374;865;1;0;14;3800000;0.45;0.16
375;388;0;0;15;900000;0.29;0.44
376;442;1;0;21;7900000;0.62;0.11
377;568;1;1;44;5800000;0.96;0.75
378;487;1;1;22;600000;0.14;0.49
379;253;1;0;38;2100000;0.7;0.99
380;226;0;1;20;7700000;0.89;0.94
382;379;0;0;6;5500000;0.77;0.97
383;307;0;1;34;2300000;0.82;0.96
384;982;1;0;16;4900000;0.12;0.41
385;370;0;0;42;2200000;0.28;0.86
386;649;1;0;44;6200000;0.46;0.24
388;658;0;0;20;1000000;0.2;0.81
389;550;0;1;8;7700000;0.77;0.15
390;433;0;1;15;4500000;0.44;0.95
391;730;0;1;31;6500000;0.17;0.77
396;919;0;1;50;5700000;0.59;0.49
398;955;1;1;37;4900000;0.34;0.24
399;379;1;1;40;5800000;0.95;0.53
400;559;0;1;38;6900000;0.53;0.43
402;802;0;1;39;6800000;0.84;0.68
403;496;0;0;48;3000000;0.65;0.99
404;343;0;0;36;6500000;0.75;0.42
408;631;0;1;23;2400000;0.25;0.41
409;667;1;0;44;8600000;0.14;0
410;820;0;0;37;4700000;0.34;0.67
412;946;1;1;18;200000;0.45;0.15
413;784;1;0;24;7900000;0.98;0.94
414;820;0;0;44;2600000;0.6;0.55
415;838;1;1;10;7000000;0.09;0.59
416;622;0;1;11;2800000;0.57;0.58
417;802;0;0;6;5800000;0.37;0.04
420;631;1;1;28;200000;0.91;0.26
422;622;1;0;2;4800000;0;0.97
423;118;1;1;40;3700000;0.29;0.88
426;910;0;1;12;7900000;0.23;0.12
427;514;0;1;32;9500000;0.56;0.9
428;496;0;0;7;1400000;0.35;0.32
431;208;1;0;32;3000000;0.03;0.94
432;316;0;1;46;8000000;0.07;0.21
434;199;1;1;48;2300000;0.32;0.44
438;793;0;1;2;3300000;0.58;0.88
440;145;0;0;2;1900000;0.23;0.41
441;721;1;1;18;5300000;0.31;0.88
442;748;0;0;3;10000000;0.65;0.14
443;739;1;0;2;1100000;0.74;0.43
446;514;0;1;48;8800000;0.06;0.07
447;271;0;1;28;2800000;0.67;0.2
449;343;0;0;32;6800000;0.21;0.49
450;820;0;0;22;9800000;0.41;0.77
451;442;1;1;34;2900000;0.93;0.26
452;208;1;1;4;5500000;0.92;0.52
453;982;1;1;13;5500000;0.96;0.66
454;406;1;0;10;300000;0.78;0.26
455;712;0;1;22;3700000;0.88;0.26
456;667;0;1;48;7700000;0.75;0.42
457;802;0;0;28;7000000;0.44;0.89
458;586;1;1;3;7300000;0.21;0.45
459;487;0;0;3;7600000;0.63;0.5
461;415;0;1;18;3600000;0.09;0.69
464;253;1;0;0;8800000;0.57;0.32
465;550;1;1;44;9300000;0.57;0.67
466;280;1;0;22;6900000;0.24;0.64
467;442;1;0;12;1600000;0.73;0.19
469;352;0;0;43;1400000;0.64;0.08
473;460;1;0;32;5600000;0.78;0.52
474;829;0;1;34;100000;0.66;0.92
475;910;1;0;28;2400000;0.98;0.44
476;379;1;1;2;8000000;0.65;0.6
477;694;1;0;16;9800000;0.16;0.42
478;181;1;0;24;8500000;0.68;0.94
480;559;0;1;2;7300000;0.49;0.36
481;559;1;0;36;8500000;0.63;0.82
482;532;0;1;8;2500000;0.79;0.08
483;793;1;1;44;1200000;0.07;0.44
484;334;0;1;22;5700000;0.1;0.38
485;451;1;1;24;7100000;0.64;0.32
486;622;0;0;40;4100000;0.27;0.71
487;694;1;1;24;4000000;0.7;0.96
488;145;0;0;49;7000000;0.73;0.66
490;820;1;1;38;9100000;0.74;0.64
491;658;1;0;41;9000000;0.71;0.76
492;721;0;1;16;6600000;0.74;0.4
493;127;1;1;26;8800000;0.41;0.53
494;910;1;0;24;4400000;0.5;0.69
495;217;1;1;42;2600000;0.16;0.83
500;622;1;1;22;100000;0.35;0.18
502;793;1;0;21;8000000;0.44;0.25
506;766;0;0;34;2800000;0.63;0.51
508;874;1;0;10;9900000;0.95;0.92
510;397;1;0;38;2600000;0.41;0.05
511;811;1;1;42;5300000;0.48;0.43
513;442;0;1;38;7800000;0.69;0.97
514;217;1;0;6;6100000;0.03;0.99
518;343;0;0;10;3700000;0.35;0.21
519;622;1;0;4;2300000;0.88;0.61
520;190;1;0;24;4900000;0.66;0.3
521;127;0;0;0;4000000;0.14;0.25
522;181;0;1;24;2500000;0.96;0.26
524;145;1;0;22;2500000;0.81;0.71
525;586;0;1;31;9800000;0.68;0.75
526;1000;1;0;42;6800000;0.52;0.24
527;253;0;1;17;2600000;0.04;0.94
528;379;0;1;4;5300000;0.09;0.75
531;172;1;1;30;2700000;0.89;0.28
533;118;1;0;21;2700000;0.17;0.32
537;226;1;0;34;1400000;0.57;0.4
538;496;0;1;16;200000;0.12;0.64
539;442;0;1;10;8900000;0.57;0.02
540;847;0;1;30;6400000;0.21;0.61
542;433;0;1;28;2300000;0.22;0.48
543;964;1;1;1;100000;0.25;0.73
545;793;0;0;2;8800000;0.58;0.8
546;820;1;0;43;6500000;0.04;0.18
548;379;1;0;44;2500000;0.03;0.33
550;928;0;0;36;8900000;0.75;0.57
551;829;1;0;35;2400000;0.69;0.44
552;982;0;1;46;2200000;0.61;0.53
553;982;0;1;30;8400000;0.08;0.94
555;766;0;0;23;1300000;0.29;0.23
558;325;1;0;10;5800000;0.46;0.14
559;667;1;1;23;3200000;0.55;0.42
562;865;0;0;49;5500000;0.82;0.21
563;109;1;1;30;5800000;0.23;0.72
564;568;1;0;30;4400000;0.34;0.64
565;667;0;0;12;1200000;0.82;0.42
566;550;1;1;22;1400000;0.66;0.08
567;514;0;1;22;7400000;0.61;0.58
568;289;1;0;4;2900000;0.6;0.36
569;982;0;1;21;9600000;0.36;0.59
572;874;0;0;13;6600000;0.36;0.77
573;766;1;0;35;6400000;0.12;0.75
574;397;0;0;2;5500000;0.93;0.75
577;667;0;0;30;3600000;0.86;0.07
580;640;0;1;29;3700000;0.68;0.63
581;982;0;0;45;2300000;0.09;0.05
582;838;1;0;20;5100000;0.36;0.58
583;406;1;0;20;800000;0.05;0.01
584;136;1;1;38;7700000;0.95;0.96
585;784;0;1;3;2500000;0.55;0.51
586;793;1;1;34;8200000;0.49;0.31
587;154;1;1;24;7700000;0.92;0.1
589;478;1;0;10;7700000;0.67;0.65
591;289;1;0;6;700000;0.43;0.14
592;118;0;0;0;1400000;0.54;0.86
593;613;0;1;26;5100000;0.02;0.08
594;739;0;1;32;6200000;0.91;0.96
596;235;0;0;24;2000000;0.38;0.39
599;154;1;1;20;1500000;0.57;0.03
600;514;1;1;31;5700000;0.78;0.06
602;730;0;0;14;5400000;0.89;0.79
604;613;0;0;18;2900000;0.18;0.69
605;784;1;0;29;9900000;0.56;0.83
606;127;0;1;4;8500000;0.51;0.52
608;244;0;1;15;5100000;0.04;0.74
609;730;0;1;46;3200000;0.33;0.33
610;307;1;0;32;5500000;0.08;0.31
611;604;0;0;46;8300000;0.07;0.08
612;640;1;1;26;5800000;0.39;0.38
613;253;1;0;30;6800000;0.18;0.29
614;838;1;0;42;8800000;0.05;0.82
615;451;0;0;47;4800000;0.16;0.79
616;784;1;1;8;9400000;0.72;0.69
618;658;0;1;25;2500000;0.07;0.51
620;334;1;0;32;8100000;0.96;0.93
622;685;0;1;38;4900000;0.09;0.95
623;469;0;1;33;5500000;0.55;0.97
625;829;1;1;26;1000000;0.39;0.45
627;406;0;1;36;400000;0.33;0.23
628;343;0;1;29;3900000;0.25;0.71
630;694;0;0;37;5400000;0.74;0.28
631;145;1;0;28;7700000;0.05;0.66
632;109;0;0;22;7900000;0.48;0.04
633;910;1;1;35;2200000;0.58;0.06
634;190;0;0;38;300000;0.83;0.72
638;757;0;0;29;4000000;0.1;0.39
641;901;0;0;24;1800000;0.48;0.12
647;757;1;0;29;8000000;0.85;0.25
649;883;0;0;30;7900000;0.09;0.75
650;307;0;0;20;1900000;0.46;0.53
651;469;1;1;39;8100000;0.91;0.25
652;775;0;0;34;3200000;0.45;0.69
653;415;1;0;39;1400000;0.1;0.87
655;910;0;1;33;4600000;0.99;0.93
656;262;0;1;18;2400000;0.34;0.13
657;289;1;0;2;2700000;0.88;0.75
658;307;1;0;5;5500000;0.6;0.32
659;487;0;0;17;2400000;0.5;0.83
660;460;1;0;29;6100000;0.27;0.4
661;883;1;1;9;7700000;0.56;0.46
662;838;1;1;5;2400000;0.39;0.62
663;442;1;1;42;6700000;0.56;0.47
664;748;1;1;42;9100000;0.61;0.78
665;604;1;1;4;700000;0.25;0.94
667;100;0;0;30;8800000;0.28;0.43
669;361;0;0;26;6500000;0.24;0.4
670;838;0;1;16;5400000;0.72;0.88
672;739;1;0;28;7700000;0.55;0.95
677;802;1;0;34;3700000;0.62;0.29
678;964;0;1;18;3800000;0.23;0.34
679;955;0;1;24;2400000;0.91;0.74
680;145;0;0;28;6500000;0.37;0.77
681;775;1;1;36;300000;0.97;0.59
682;865;0;0;50;7600000;0.11;0.26
683;631;1;0;3;600000;0.06;0.62
684;397;0;1;23;10000000;0.56;0.7
686;748;1;0;49;9800000;0.65;0.97
688;424;1;1;20;9900000;0.65;0.8
689;379;1;1;32;6400000;0.44;0.24
691;406;0;1;39;5800000;0.32;0.19
692;820;0;1;19;6600000;0.52;0.22
693;829;0;1;19;8400000;0.55;0.03
694;379;0;1;40;3500000;0.73;0.18
695;433;0;1;16;5700000;0.79;0.01
696;802;0;0;36;6400000;0.24;0.17
697;478;0;0;17;7300000;0.86;0.09
699;442;0;1;36;5000000;0.21;0.77
700;235;1;0;35;4000000;0.82;0.19
701;658;1;0;22;3500000;0.12;0.99
704;676;0;1;44;5100000;0.46;0.21
705;739;1;0;24;3000000;0.62;0.99
706;532;1;0;16;4100000;0.96;0.24
708;721;0;0;46;9400000;0.29;0.29
711;928;0;0;22;8800000;0.65;0.83
712;316;1;0;43;7000000;0.49;0.4
713;982;1;0;25;1200000;0.25;0.97
714;325;0;0;27;4400000;0.42;0.48
716;109;1;1;0;8900000;0.47;0
718;271;1;0;33;6800000;0.48;0.71
720;190;1;0;26;4300000;0.1;0.34
721;586;1;0;15;500000;0.69;0.29
722;388;0;1;8;8800000;0.79;0.97
723;559;0;1;44;9500000;0.46;0.81
724;883;0;0;26;200000;0.23;0.85
725;712;1;1;34;7500000;0.39;0.44
728;253;0;1;28;4400000;0.01;0.69
732;226;0;0;48;7600000;0.4;0
733;370;0;0;10;1500000;0.42;0.67
734;784;0;0;48;3600000;0.12;0.63
736;415;1;1;45;7700000;0.79;0.96
737;352;0;1;3;2700000;0.4;0.77
738;370;0;0;42;9800000;0.93;0.68
739;964;1;1;44;6300000;0.02;0.85
740;199;1;0;8;9900000;0.19;0.55
741;307;1;0;40;6100000;0.64;0.53
744;604;1;0;37;1600000;0.03;0.38
745;163;1;1;22;2800000;0.53;0.54
748;856;1;1;49;1200000;0.69;0.19
749;451;1;1;47;2700000;0.29;0.96
750;118;1;0;32;4000000;0.39;0.73
751;685;0;0;14;2200000;0.82;0.74
752;658;0;0;30;9200000;0.11;0.77
754;910;0;1;40;6100000;0.63;0.41
755;865;1;0;26;1900000;0.24;0.58
756;136;0;0;39;1100000;0.57;0.97
759;289;1;0;24;8200000;0.32;0.16
760;982;1;0;38;9100000;1;0.04
761;100;0;0;16;4600000;0.42;0.89
764;307;1;1;32;6600000;0.97;0.14
765;856;0;1;27;4600000;0.92;0.4
766;280;0;1;36;4600000;0.98;0.06
767;361;0;1;30;1000000;0.1;0.65
768;109;1;0;20;7400000;0.35;0.09
769;622;0;1;4;2600000;0.99;0.56
770;352;0;1;4;5500000;0.51;0.67
771;307;0;0;14;9800000;0.51;0.3
772;496;0;1;20;7400000;0.27;0.29
773;901;1;0;26;7200000;0.17;0.83
774;361;0;0;12;3500000;0.16;0.26
775;532;0;0;44;4900000;0.16;0.38
776;244;1;1;16;1200000;0.43;0.61
777;226;0;0;2;6300000;0.3;0.64
778;793;0;1;46;6500000;0.2;0.69
779;649;1;0;45;4600000;0.72;0.7
781;1000;1;0;37;1400000;0.98;0.23
783;577;0;1;28;1400000;0;0.93
784;658;1;0;20;8900000;0.82;0.14
786;748;1;1;35;500000;0.4;0.58
789;406;0;1;4;500000;0.97;0.72
791;370;0;1;26;7300000;0.67;0.54
792;118;0;1;23;6800000;0.73;0.63
796;748;1;0;43;600000;0.91;0.41
797;676;1;1;36;5100000;0.48;0.18
798;685;0;0;2;8100000;0.35;0.26
800;766;0;1;25;7800000;0.35;0.35
802;262;0;1;46;6100000;0.13;0.58
803;559;1;0;32;9000000;0.45;0.36
805;847;0;1;14;6500000;0.2;0.72
806;694;0;1;8;8500000;0.82;0.15
807;487;1;1;25;200000;0.33;0.27
809;964;1;1;34;2200000;0.6;0.82
810;172;0;0;14;4700000;0.75;0.2
811;343;1;1;27;6400000;0.54;0.67
812;910;1;0;48;7300000;0.59;0.4
813;730;0;1;28;1800000;0.61;0.6
815;505;0;1;7;4400000;0.88;0.28
816;721;0;1;37;6300000;0.78;0.11
817;784;1;1;34;8800000;0.69;0.19
818;325;1;0;23;4800000;0.39;0.43
819;649;0;0;12;9200000;0.2;0.17
820;514;0;0;41;5000000;0.13;0.57
821;730;1;0;36;2800000;0.97;0.31
822;730;1;1;5;1600000;0.67;0.1
823;280;1;0;50;6500000;0.2;0.45
826;154;0;0;24;8600000;0.76;0.25
829;883;1;0;34;200000;0.26;0.45
830;298;0;1;12;6800000;0.93;0.57
831;820;0;0;0;300000;0.6;0.03
833;469;0;0;0;300000;0.15;0.2
836;379;1;1;34;2700000;0.76;0.6
837;586;0;0;14;9900000;0.72;0.93
838;451;0;1;33;7500000;0.39;0.88
839;109;1;0;33;500000;0.74;0.93
840;217;0;0;22;5500000;0.84;0.17
841;577;1;1;12;9500000;0.15;0.48
842;595;1;0;2;5400000;0.98;0.14
843;559;1;0;21;500000;0.27;0.62
844;307;1;0;10;2800000;0.96;0.53
845;370;0;1;18;6100000;0.77;0.68
846;550;0;0;29;7200000;0.19;0.21
847;334;1;0;48;7400000;0.56;0.73
848;991;0;0;12;4100000;0.94;0.41
851;127;0;0;44;100000;0.1;0.14
855;1000;1;0;24;9300000;0.94;0.82
856;334;0;0;15;6000000;0.62;0.93
857;163;0;1;18;8200000;0.95;0.72
859;766;0;1;24;900000;0.38;0.56
860;361;0;1;47;3100000;0.09;0.43
864;829;0;0;28;2400000;0.31;0.7
866;703;1;1;35;9500000;0.09;0.46
869;937;0;1;2;7100000;0.38;0.28
870;424;1;0;38;4900000;0.66;0.11
871;550;1;1;31;3800000;0.52;0.63
872;568;1;1;20;4300000;0.64;0.69
874;559;0;1;6;6700000;0.61;0.82
875;190;1;0;16;2900000;0.55;0.13
877;163;1;0;50;8500000;0.72;0.88
879;451;1;1;32;4100000;0.37;0.28
883;676;0;0;37;9500000;0.59;0.28
884;856;1;1;29;100000;0.27;0.57
885;568;1;1;40;3000000;0.51;0.73
886;514;0;0;21;2500000;0.34;0.2
887;442;1;1;40;900000;0.2;0.51
888;487;1;0;10;9300000;0.86;0.89
890;784;1;1;22;500000;0.43;0.59
892;1000;0;1;2;8700000;0.08;0.2
893;388;1;1;9;6900000;0.75;0.94
894;721;0;0;0;4400000;0.96;0.05
895;550;0;1;32;8600000;0.84;0.25
896;595;0;1;36;9300000;0.99;0.17
